id,name,review_count,rating,latitude,longitude,price,station
JNbPJxM07pzJ-6JiXkZu6g,La Galerie Dior,9.0,5.0,48.86653,2.30697,0,Boétie - Ponthieu
3zZOFdwxA_JDcAKEKomknA,Merci Jérôme,5.0,5.0,48.8777597,2.298876,0,Boétie - Ponthieu
pjuZB_Qf-bFzvLDiEqApjA,Helen,5.0,5.0,48.8750916,2.30406,€€€€,Boétie - Ponthieu
zpRDPVf_Izk5B7foS9yd8Q,Le Colisée,6.0,5.0,48.87079,2.308084,0,Boétie - Ponthieu
7bHtpYzGmCrvvXGWmnszNQ,La Cour Jardin,5.0,5.0,48.866496192705,2.30420208427494,0,Boétie - Ponthieu
7O17125BuwZOv02DV1nY_w,La Haute Cloche,6.0,5.0,48.86941,2.30008,€€€,Boétie - Ponthieu
G2OzmHeJnDaQwXsFBRYC3g,Les Ambassadeurs,9.0,5.0,48.8673,2.32113,0,Boétie - Ponthieu
-NTjIQv5RSWi1N6IcGMubg,Shabestan,16.0,5.0,48.8727,2.30932,0,Boétie - Ponthieu
4mMD5DFOsyLYlffxHRjUOQ,Pierre Hermé,8.0,5.0,48.8782479511257,2.31531919881138,€€€,Boétie - Ponthieu
F0lJ6g6Q6SItwW9FS4WM8A,Le Bizetro,8.0,5.0,48.86676,2.29858,€€€,Boétie - Ponthieu
ivik9fxKe1Kw3EkTjp7yKA,Le Comptoir de l'Artoise,25.0,5.0,48.872302,2.308658,€€€,Boétie - Ponthieu
FXCx3Tuj8NJfCKPHJzyakg,Okuda,6.0,5.0,48.8670149,2.3028129,0,Boétie - Ponthieu
vf0SfwWuKbwmJJvtmzAKcg,Le Gabriel,19.0,5.0,48.869764,2.313287,€€€€,Boétie - Ponthieu
fqn_3FlonAbku67LZOFzFQ,La Galette du Liban,9.0,5.0,48.8733040855109,2.30314341104508,€€,Boétie - Ponthieu
wxS-igraHYS5C3ELPNdnVg,Pages,13.0,5.0,48.8708134743974,2.29616437107325,€€€€,Boétie - Ponthieu
EZDvf7GO4LdTBElWpR95Fg,Terrasse de Partech,4.0,5.0,48.8729,2.3164,€€€,Boétie - Ponthieu
GzWfXIXbGwacNHfJZyr-aw,Sushi Okuda,4.0,5.0,48.8670947,2.3024713,0,Boétie - Ponthieu
NlnxJAbtdC0IEkQ8--4Z2w,Prêt à Manger,4.0,5.0,48.87014,2.29829,0,Boétie - Ponthieu
_nILmFStE93xzMLDt7sr6g,Allegria,4.0,5.0,48.87117,2.3096499,€€,Boétie - Ponthieu
SKTQl4LX-enMA_7fFJKMzQ,La Brûlerie des Ternes,4.0,5.0,48.878881,2.296661,€€€,Boétie - Ponthieu
VL8xQnwvbPwALQNuvqnY9g,NENI,5.0,5.0,48.8795065,2.3547303,0,Jemmapes - Ecluses Saint-Martin
L484Kcj0HebtQtby9y9nqw,Bulgogi,6.0,5.0,48.870907,2.376759,0,Jemmapes - Ecluses Saint-Martin
1nWamR8Gv8fPaQfsy3TbNA,La Bécane à Gaston,6.0,5.0,48.87251,2.36112,0,Jemmapes - Ecluses Saint-Martin
JzfIx3vhYalXR9xuu61IOw,Superbières,6.0,5.0,48.8800507,2.3636501,0,Jemmapes - Ecluses Saint-Martin
BTs8KoiXPH2jLlURJvta-A,Le Pain des Copains,5.0,5.0,48.87298,2.35803,0,Jemmapes - Ecluses Saint-Martin
s8WX-lVvG9RUFtpTkkku4A,Restaurant Ella,9.0,5.0,48.87044,2.3531399,0,Jemmapes - Ecluses Saint-Martin
NfRFVlK7-4uV8-CcXVi0KA,Two Stories,9.0,5.0,48.8714683,2.3657338,€€€,Jemmapes - Ecluses Saint-Martin
