station_id,station,latitude,longitude,no_of_bikes,network_id
116978dc6ed165d95a1ce386466bf165,a,50.9461755412333,1.89117629896361,0,vel-in
3b58c82f8aca0fd26a55dd5fcb82f9ec,b,50.9607702279798,1.87392179485119,0,vel-in
fedaa58e592a7e4156cf9f89e3f44560,01 : Lafayette,50.9466094970703,1.85830295085907,0,vel-in
a75dfb30a2a5e87b7ad50863923461ce,02 : Théatre,50.9473774202641,1.85376906394959,1,vel-in
9723c2436cfc9652882bf1b7c7e182e7,04 : Gare SNCF,50.9533029460493,1.85127753019333,2,vel-in
9f1b2e94cbc6ea6cdb20e548ea28f31a,05 : Richelieu,50.9550294770367,1.8502995967865,1,vel-in
db957c09b32adefad9c19798a6818962,06 : Place d'Armes,50.9588776267415,1.84921402937107,9,vel-in
2035df637be1e0881ccd43656c5067d6,07 : Pluviose,50.9652289200567,1.84306496288627,6,vel-in
cb33dacad30230c56f961d22df427c99,09 : Eglise de Blériot,50.9583526562474,1.825364112854,5,vel-in
a45e64e2053c178b7116aa3f2454150a,11 : Base de voile,50.9551080489436,1.7996609210968,4,vel-in
918e267f5a72e1213e089f3b2a964950,12 : CC La Française,50.9433964178014,1.80812895298004,1,vel-in
e4c1694919dcecf427c03fb34d2d4c05,17 : Mogador,50.9452402344141,1.83069121837616,3,vel-in
e2a6cce5d2fd8bef1dc2bc286a4b92ca,18 : Piscine patinoire Icéo,50.9567044570158,1.89690744876862,1,vel-in
a5e0f817b0e2a8bf9310e294d8a71e15,19 : Matelote,50.9623985290527,1.85080003738403,4,vel-in
690228976cdad4087c2a3efefb5347ca,20 : IUT,50.9505437554394,1.88234746456146,0,vel-in
f8f05a96b2a991fa46d55077546aa644,21 : Coubertin,50.9559561784671,1.83498778056332,3,vel-in
96988b717871cb59046af9f0ee8df14b,22 : Diderot,50.9556917599038,1.86437272142598,1,vel-in
d8361e34a92bcfbef112a9de53b10aec,25 : Copernic,50.9393852948121,1.86540134858319,4,vel-in
ec410409bb07006933bd5c30ce3da8ee,26 : Joffre,50.9409605094533,1.84435941886136,4,vel-in
05d4fbd7ed8b0b2e36a72f19c1cd2e7b,27 : Montréal,50.9327339880248,1.85615309189984,6,vel-in
37da2ded45352e7de81d29a301407127,28 : Coquelles - Charles de Gaulle,50.9348139969917,1.79933988165089,2,vel-in
52311c660c34a0126f10cd2666240423,29 : Sangatte - Mairie,50.9471729601747,1.7579708309097,2,vel-in
17a3bc026ae6d1a8437ed7f0d225ed4e,30 : Coulogne - Eglise,50.9254899962998,1.8871782035751,3,vel-in
60f4d6754bff5e99a20c71e6b6e168a8,31 : Coulogne - Marronniers,50.9265328935458,1.86913984827697,4,vel-in
eaae0a80aaa0b0d5d212fb0d7dd17613,33 : Marck - Stade,50.9531683032271,1.9350127191467,4,vel-in
c1f2ebdde01bc98bda500f3cc58f8e6d,34 : Marck - Schweitzer,50.9473503982859,1.93305470656583,2,vel-in
18c2b72c61bbc73033d984cbd4fc76b7,35 : Hôpital,50.93973702973,1.89368051026247,4,vel-in
c6e13f41b221119ef0cbf991d0524b7e,36 : Conservatoire,50.9493393563634,1.84845882627997,4,vel-in
eedad53a6aa381806466d4365f2b711e,38 : Dryades,50.9555460692196,1.92862474825233,4,vel-in
02a39978078694f5fedf389e32d25717,39 :  Gare des Fontinettes,50.9406381545956,1.8501793127507,2,vel-in
4160a89f608044e674d8bfeb1040e490,40 : Camping de Calais,50.9591633311727,1.8324513360858,2,vel-in
8e28c3784940d2ad4cd63037aa95c521,41 : Quai de la Loire,50.9630246477014,1.86262754766244,2,vel-in
5a2567d019a85ca5828f8f49ca6da5bf,42 : Terminal Transmanche,50.9665196007155,1.86257956495888,0,vel-in
990fb474b773299604dd919747990f14,43 : Gavet,50.9608768967839,1.84787910397336,1,vel-in
9d69090c97b0e7f48507d1b8e0aea385,45 : N. Niemen,50.9542196998674,1.90216401284113,3,vel-in
18ce6a4e1fc97e03ca8b46c45dac7a4f,47 : Détroit,50.9391749469231,1.8746679497533,2,vel-in
665e3448257e49e150f228524e3906ab,44 : Garennes,50.9678605017257,1.89620947974424,1,vel-in
83687ac258034637ad3db854ea69c8a4,49 : Banc Valois,50.8910715553636,1.88117527116469,5,vel-in
633d0d8716c3c593fb83d2b1300614f4,50 : Pont à Vaches,50.8836023507373,1.90332148587345,3,vel-in
79ae2c701424c32e3ba0eeb188ee3130,51 : Jean Bosco,50.8701098699214,1.86920730972497,0,vel-in
39747158053ece35bc6f02acb59dacff,52 : 4 Vents,50.8653360130927,1.869189370252,0,vel-in
f00e3a2f74330773055b1f175498f5a5,53 : Batelage,50.8726165096897,1.86981648511812,5,vel-in
0a61f542e892f6bddaf6edc3046224ac,08 : Milieu de Digue,50.9628729738197,1.83556111129514,3,vel-in
68940ed4c130db4341c5ed855d01277f,54 : Terminal Ferry,50.974572973325,1.87844448708857,3,vel-in
ecdef2c2da6582d4219a55dedcaa667f,55 : Eglise des Hemmes,50.9824278011226,1.96719002752833,2,vel-in
a68d9f361bec6c1ff841c8b2ffeffaa3,56 : Mairie de Nielles,50.9078001672588,1.83734983554901,1,vel-in
3a2b27dc831bd9b3c51816329fbc5a0b,57 : Sainte Marguerite,50.9084494422403,1.82474803794179,2,vel-in
c0be5956bd35dc7d3078726233cd6482,58 : Eglise de Frethun,50.9171379802201,1.82425953982947,4,vel-in
932ca22b0411ba3d293ea1549f14edad,59 : Briqueterie,50.9036220299626,1.81601668274417,3,vel-in
20aa0ab6b37a97250d9282779e5045be,60 : Mairie Les Attaques,50.9085056855888,1.93391487580794,3,vel-in
e24868e1ee129b1b489074335a702fd1,61 : Chemin du Contre Halage,50.8946263853976,1.96506693229015,2,vel-in
e79f429f9a94ed8f405612995d30be89,67 : Jean Macé,50.9571570580386,1.85349113390094,0,vel-in
23bd7204223c67583fcd12b466b0690b,65 : Valmy,50.9465696292165,1.86175279102016,2,vel-in
40432af8317bdd9650dd6d5d7aa324c0,68 : Saint Pierre Halte,50.939290040966,1.87970949681654,4,vel-in
9ec39c5e024385d359025c6192f324e6,66 : Médiathèque,50.9496993616027,1.85696949511488,0,vel-in
6442c2e38ff5ce956bb3334f733068d2,71 : Bitche,50.9598586856503,1.87439230139014,1,vel-in
cbec7babdfe3168070e9dca39a336d65,62 : Bergenias,50.9095304349268,1.877007302389,2,vel-in
dfe3a22af5e3a29abc2f30e67e8e7bdb,03 : Hôtel de ville,50.9520355054771,1.8536337018013,1,vel-in
40fcbf0cc85b5e9984038749c98f5fae,46 : Léonard De Vinci,50.9543781154526,1.8910816828826,6,vel-in
8c1c6a3d31eba483cdaec9b7a89834cd,13 : Pôle administratif,50.9522424870569,1.85908508300781,3,vel-in
df38f43581693c631beb8e5153c6b3b9,14 : Cité de la dentelle,50.9508639966294,1.85983991622925,1,vel-in
1b3b9b04c56908269bf0f93df20f1345,15 : Université,50.9523598376241,1.87945222854614,0,vel-in
b9309568753bd27f21df9099254630b5,THEATRE,50.94749,1.85365,1,velectin
d12b90382456f60cd86e4c0d3af80309,MAIRIE DE BLERIOT,50.95848,1.82496,0,velectin
5f71f7dfa65b9d9262f2f966f3f481aa,COQUELLES,50.93609,1.80001,0,velectin
df6340be3e22aafbeb98c0f9a33567aa,UNIVERSITE,50.9523175,1.879304115,0,velectin
18885eecc620dfb8247e4b965eea7094,PLUVIOSE,50.96496,1.84347,0,velectin
0272a902cd9247078766c259f2ae3e1d,Gare SNCF,50.9532622,1.850974731,0,velectin
1b484820df4753450d86331715b0eed7,MAIRIE DE MARCK,50.949146,1.956255,1,velectin
