id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,phone,display_phone,distance,coordinates.latitude,coordinates.longitude,location.address1,location.address2,location.address3,location.city,location.zip_code,location.country,location.state,location.display_address,price,station
JNbPJxM07pzJ-6JiXkZu6g,la-galerie-dior-paris,La Galerie Dior,https://s3-media4.fl.yelpcdn.com/bphoto/YOFtdjVc6FdQgUbYP0Sv_Q/o.jpg,False,https://www.yelp.com/biz/la-galerie-dior-paris?adjust_creative=cBr4t0M-GgBXDDCBqu5SRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cBr4t0M-GgBXDDCBqu5SRg,9.0,"[{'alias': 'museums', 'title': 'Museums'}, {'alias': 'arttours', 'title': 'Art Tours'}, {'alias': 'fashion', 'title': 'Fashion'}]",5.0,[],,,455.632567215828,48.86653,2.30697,11 Rue François 1er,,,Paris,75008,FR,,"['11 Rue François 1er', '75008 Paris', 'France']",,Boétie - Ponthieu
3zZOFdwxA_JDcAKEKomknA,merci-jérôme-paris-12,Merci Jérôme,https://s3-media1.fl.yelpcdn.com/bphoto/okW5OkU7EFc5fhttyGqIyA/o.jpg,False,https://www.yelp.com/biz/merci-j%C3%A9r%C3%B4me-paris-12?adjust_creative=cBr4t0M-GgBXDDCBqu5SRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cBr4t0M-GgBXDDCBqu5SRg,5.0,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'tea', 'title': 'Tea Rooms'}]",5.0,[],+33781861601,+33 7 81 86 16 01,954.8932225349403,48.8777597,2.298876,270 rue du Faubourg Saint-Honoré,,,Paris,75008,FR,75,"['270 rue du Faubourg Saint-Honoré', '75008 Paris', 'France']",,Boétie - Ponthieu
pjuZB_Qf-bFzvLDiEqApjA,helen-paris,Helen,https://s3-media3.fl.yelpcdn.com/bphoto/ks8vNip1mkpnBMd9rMZHUQ/o.jpg,False,https://www.yelp.com/biz/helen-paris?adjust_creative=cBr4t0M-GgBXDDCBqu5SRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cBr4t0M-GgBXDDCBqu5SRg,5.0,"[{'alias': 'french', 'title': 'French'}, {'alias': 'seafood', 'title': 'Seafood'}]",5.0,[],+33140760140,+33 1 40 76 01 40,488.4544097446516,48.8750916,2.30406,3 rue Berryer,,,Paris,75008,FR,75,"['3 rue Berryer', '75008 Paris', 'France']",€€€€,Boétie - Ponthieu
zpRDPVf_Izk5B7foS9yd8Q,le-colisée-paris-2,Le Colisée,https://s3-media1.fl.yelpcdn.com/bphoto/FeCNMCj44spyodiwyFCMLg/o.jpg,False,https://www.yelp.com/biz/le-colis%C3%A9e-paris-2?adjust_creative=cBr4t0M-GgBXDDCBqu5SRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cBr4t0M-GgBXDDCBqu5SRg,6.0,"[{'alias': 'french', 'title': 'French'}, {'alias': 'danceclubs', 'title': 'Dance Clubs'}]",5.0,[],+33609785334,+33 6 09 78 53 34,75.78675941498366,48.87079,2.308084,17 rue du Colisée,,,Paris,75008,FR,75,"['17 rue du Colisée', '75008 Paris', 'France']",,Boétie - Ponthieu
7bHtpYzGmCrvvXGWmnszNQ,la-cour-jardin-paris,La Cour Jardin,https://s3-media2.fl.yelpcdn.com/bphoto/t4GAXDKhZ8H5QEL03ZSl6Q/o.jpg,False,https://www.yelp.com/biz/la-cour-jardin-paris?adjust_creative=cBr4t0M-GgBXDDCBqu5SRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cBr4t0M-GgBXDDCBqu5SRg,5.0,"[{'alias': 'french', 'title': 'French'}]",5.0,[],+33153676602,+33 1 53 67 66 02,603.4001195526042,48.866496192705,2.30420208427494,25 avenue Montaigne,,,Paris,75008,FR,75,"['25 avenue Montaigne', '75008 Paris', 'France']",,Boétie - Ponthieu
7O17125BuwZOv02DV1nY_w,la-haute-cloche-paris,La Haute Cloche,https://s3-media1.fl.yelpcdn.com/bphoto/ZTY_Fw0TUp6GZVSlIiu72w/o.jpg,False,https://www.yelp.com/biz/la-haute-cloche-paris?adjust_creative=cBr4t0M-GgBXDDCBqu5SRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cBr4t0M-GgBXDDCBqu5SRg,6.0,"[{'alias': 'bistros', 'title': 'Bistros'}]",5.0,[],+33181298972,+33 1 81 29 89 72,597.6188806603175,48.86941,2.30008,13 rue Quentin-Bauchart,,,Paris,75008,FR,75,"['13 rue Quentin-Bauchart', '75008 Paris', 'France']",€€€,Boétie - Ponthieu
G2OzmHeJnDaQwXsFBRYC3g,les-ambassadeurs-paris-4,Les Ambassadeurs,https://s3-media2.fl.yelpcdn.com/bphoto/pbyrSsfPQfu8HtqIqtfj7w/o.jpg,False,https://www.yelp.com/biz/les-ambassadeurs-paris-4?adjust_creative=cBr4t0M-GgBXDDCBqu5SRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cBr4t0M-GgBXDDCBqu5SRg,9.0,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'champagne_bars', 'title': 'Champagne Bars'}]",5.0,[],+33144711580,+33 1 44 71 15 80,1082.587632830077,48.8673,2.32113,10 place de la Concorde,,,Paris,75008,FR,75,"['10 place de la Concorde', '75008 Paris', 'France']",,Boétie - Ponthieu
-NTjIQv5RSWi1N6IcGMubg,shabestan-paris-4,Shabestan,https://s3-media3.fl.yelpcdn.com/bphoto/ZM02_JLPiarQhj_lfhnB8Q/o.jpg,False,https://www.yelp.com/biz/shabestan-paris-4?adjust_creative=cBr4t0M-GgBXDDCBqu5SRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cBr4t0M-GgBXDDCBqu5SRg,16.0,"[{'alias': 'persian', 'title': 'Persian/Iranian'}]",5.0,[],+33145639568,+33 1 45 63 95 68,183.15610297141998,48.8727,2.30932,5 rue du Commandant Rivière,,,Paris,75008,FR,75,"['5 rue du Commandant Rivière', '75008 Paris', 'France']",,Boétie - Ponthieu
4mMD5DFOsyLYlffxHRjUOQ,pierre-hermé-paris-19,Pierre Hermé,https://s3-media3.fl.yelpcdn.com/bphoto/gpenSA9zU5gd3lJWyyZqvA/o.jpg,False,https://www.yelp.com/biz/pierre-herm%C3%A9-paris-19?adjust_creative=cBr4t0M-GgBXDDCBqu5SRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cBr4t0M-GgBXDDCBqu5SRg,8.0,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'cakeshop', 'title': 'Patisserie/Cake Shop'}, {'alias': 'chocolate', 'title': 'Chocolatiers & Shops'}]",5.0,[],+33143544777,+33 1 43 54 47 77,942.93118726999,48.8782479511257,2.31531919881138,89 bd Malesherbes,,,Paris,75008,FR,75,"['89 bd Malesherbes', '75008 Paris', 'France']",€€€,Boétie - Ponthieu
F0lJ6g6Q6SItwW9FS4WM8A,le-bizetro-paris,Le Bizetro,https://s3-media1.fl.yelpcdn.com/bphoto/J2M0OUSE8UTPdn7VGHbIvg/o.jpg,False,https://www.yelp.com/biz/le-bizetro-paris?adjust_creative=cBr4t0M-GgBXDDCBqu5SRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cBr4t0M-GgBXDDCBqu5SRg,8.0,"[{'alias': 'french', 'title': 'French'}]",5.0,[],+33147238541,+33 1 47 23 85 41,843.2532478592149,48.86676,2.29858,6 rue Georges Bizet,,,Paris,75116,FR,75,"['6 rue Georges Bizet', '75116 Paris', 'France']",€€€,Boétie - Ponthieu
